Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_40_61,VDD,Metal1,45.9680,175.7080,4.999982
FILLER_40_55,VDD,Metal1,37.8000,176.4000,4.999982
FILLER_40_51,VDD,Metal1,36.7800,175.9675,4.999982
FILLER_40_37,VDD,Metal1,27.7200,176.4000,4.999982
FILLER_40_31,VDD,Metal1,25.5800,175.9675,4.999982
FILLER_40_14,VDD,Metal1,14.8400,176.4000,4.999982
FILLER_40_10,VDD,Metal1,13.8200,175.9675,4.999982
FILLER_40_2,VDD,Metal1,10.5865,175.8230,4.999982
FILLER_39_325,VDD,Metal1,189.0000,168.5600,4.999988
FILLER_39_323,VDD,Metal1,188.1600,168.5600,4.999988
FILLER_39_290,VDD,Metal1,170.6200,168.9925,4.999988
FILLER_39_282,VDD,Metal1,167.3865,169.1365,4.999988
FILLER_39_279,VDD,Metal1,163.2400,168.5600,4.999987
FILLER_39_277,VDD,Metal1,162.4000,168.5600,4.999987
FILLER_39_245,VDD,Metal1,153.5555,169.3285,4.999987
FILLER_39_228,VDD,Metal1,134.6800,168.5600,4.999986
FILLER_39_212,VDD,Metal1,130.5280,169.2520,4.999986
FILLER_39_206,VDD,Metal1,123.5800,168.9925,4.999985
FILLER_39_198,VDD,Metal1,120.3465,169.1365,4.999985
FILLER_39_182,VDD,Metal1,108.9200,168.5600,4.999985
FILLER_39_180,VDD,Metal1,108.0800,168.5600,4.999985
FILLER_39_164,VDD,Metal1,103.6480,169.2520,4.999985
FILLER_39_148,VDD,Metal1,89.8800,168.5600,4.999985
FILLER_39_146,VDD,Metal1,89.0400,168.5600,4.999985
FILLER_39_142,VDD,Metal1,87.7400,168.9925,4.999985
FILLER_39_139,VDD,Metal1,84.8400,168.5600,4.999985
FILLER_39_131,VDD,Metal1,82.8265,169.1365,4.999985
FILLER_39_93,VDD,Metal1,60.3000,168.9925,4.999985
FILLER_39_84,VDD,Metal1,54.0400,168.5600,4.999985
FILLER_39_80,VDD,Metal1,53.0200,168.9925,4.999985
FILLER_39_72,VDD,Metal1,49.7865,169.1365,4.999985
FILLER_39_62,VDD,Metal1,44.1865,169.1365,4.999986
FILLER_39_46,VDD,Metal1,37.5680,169.2520,4.999986
FILLER_39_36,VDD,Metal1,27.1600,168.5600,4.999987
FILLER_39_34,VDD,Metal1,26.3200,168.5600,4.999987
FILLER_39_30,VDD,Metal1,25.0200,168.9925,4.999987
FILLER_39_18,VDD,Metal1,18.3000,168.9925,4.999987
FILLER_39_2,VDD,Metal1,12.9280,169.2520,4.999987
FILLER_38_325,VDD,Metal1,189.0000,168.5600,4.999988
FILLER_38_317,VDD,Metal1,186.9865,167.9830,4.999988
FILLER_38_313,VDD,Metal1,182.5600,168.5600,4.999988
FILLER_38_309,VDD,Metal1,181.2600,168.1275,4.999988
FILLER_38_299,VDD,Metal1,174.7200,168.5600,4.999988
FILLER_38_295,VDD,Metal1,173.4200,168.1275,4.999988
FILLER_38_279,VDD,Metal1,168.0480,167.8680,4.999988
FILLER_38_247,VDD,Metal1,154.6755,167.7910,4.999987
FILLER_38_244,VDD,Metal1,143.6400,168.5600,4.999986
FILLER_38_235,VDD,Metal1,138.6000,168.5600,4.999986
FILLER_38_233,VDD,Metal1,137.7600,168.5600,4.999986
FILLER_38_225,VDD,Metal1,135.4665,167.9830,4.999986
FILLER_38_209,VDD,Metal1,128.8480,167.8680,4.999986
FILLER_38_177,VDD,Metal1,115.4755,167.7910,4.999985
FILLER_38_171,VDD,Metal1,103.9800,168.1275,4.999985
FILLER_38_107,VDD,Metal1,85.2750,167.7455,4.999985
FILLER_38_104,VDD,Metal1,65.2400,168.5600,4.999985
FILLER_38_102,VDD,Metal1,64.4000,168.5600,4.999985
FILLER_38_98,VDD,Metal1,63.1000,168.1275,4.999985
FILLER_38_91,VDD,Metal1,57.9600,168.5600,4.999985
FILLER_38_89,VDD,Metal1,57.1200,168.5600,4.999985
FILLER_38_81,VDD,Metal1,54.8265,167.9830,4.999985
FILLER_38_75,VDD,Metal1,49.0000,168.5600,4.999985
FILLER_38_73,VDD,Metal1,48.1600,168.5600,4.999986
FILLER_38_69,VDD,Metal1,46.8600,168.1275,4.999986
FILLER_38_37,VDD,Metal1,37.0755,167.7910,4.999986
FILLER_38_34,VDD,Metal1,26.0400,168.5600,4.999987
FILLER_38_2,VDD,Metal1,17.4755,167.7910,4.999987
FILLER_37_325,VDD,Metal1,189.0000,160.7200,4.999989
FILLER_37_323,VDD,Metal1,188.1600,160.7200,4.999989
FILLER_37_306,VDD,Metal1,178.3600,160.7200,4.999989
FILLER_37_298,VDD,Metal1,176.3465,161.2965,4.999989
FILLER_37_282,VDD,Metal1,169.7280,161.4120,4.999989
FILLER_37_279,VDD,Metal1,163.2400,160.7200,4.999989
FILLER_37_275,VDD,Metal1,162.2200,161.1525,4.999989
FILLER_37_259,VDD,Metal1,156.8480,161.4120,4.999989
FILLER_37_245,VDD,Metal1,144.2000,160.7200,4.999988
FILLER_37_243,VDD,Metal1,143.3600,160.7200,4.999988
FILLER_37_212,VDD,Metal1,126.0000,160.7200,4.999987
FILLER_37_206,VDD,Metal1,123.5800,161.1525,4.999986
FILLER_37_160,VDD,Metal1,96.6000,160.7200,4.999985
FILLER_37_158,VDD,Metal1,95.7600,160.7200,4.999985
FILLER_37_142,VDD,Metal1,86.5200,160.7200,4.999985
FILLER_37_136,VDD,Metal1,84.3800,161.1525,4.999985
FILLER_37_72,VDD,Metal1,65.6750,161.5340,4.999985
FILLER_37_69,VDD,Metal1,45.6400,160.7200,4.999985
FILLER_37_61,VDD,Metal1,43.6265,161.2965,4.999985
FILLER_37_29,VDD,Metal1,32.5955,161.4885,4.999985
FILLER_37_14,VDD,Metal1,14.8400,160.7200,4.999985
FILLER_37_10,VDD,Metal1,13.8200,161.1525,4.999985
FILLER_37_2,VDD,Metal1,10.5865,161.2965,4.999985
FILLER_36_325,VDD,Metal1,189.0000,160.7200,4.999989
FILLER_36_317,VDD,Metal1,186.9865,160.1430,4.999989
FILLER_36_314,VDD,Metal1,182.8400,160.7200,4.999989
FILLER_36_294,VDD,Metal1,171.6400,160.7200,4.999989
FILLER_36_286,VDD,Metal1,169.6265,160.1430,4.999989
FILLER_36_243,VDD,Metal1,143.3600,160.7200,4.999988
FILLER_36_177,VDD,Metal1,108.5865,160.1430,4.999986
FILLER_36_159,VDD,Metal1,96.0400,160.7200,4.999985
FILLER_36_129,VDD,Metal1,79.2400,160.7200,4.999985
