Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_39_228,VSS,Metal1,134.6800,172.4800,0.000015
FILLER_39_212,VSS,Metal1,129.3120,171.9320,0.000015
FILLER_39_206,VSS,Metal1,122.8200,172.1310,0.000016
FILLER_39_198,VSS,Metal1,119.3330,172.0180,0.000016
FILLER_39_182,VSS,Metal1,108.9200,172.4800,0.000016
FILLER_39_180,VSS,Metal1,108.0800,172.4800,0.000017
FILLER_39_164,VSS,Metal1,102.4320,171.9320,0.000017
FILLER_39_148,VSS,Metal1,89.8800,172.4800,0.000019
FILLER_39_146,VSS,Metal1,89.0400,172.4800,0.000019
FILLER_39_142,VSS,Metal1,86.9800,172.1310,0.000019
FILLER_39_139,VSS,Metal1,84.8400,172.4800,0.000019
FILLER_39_131,VSS,Metal1,81.8130,172.0180,0.000020
FILLER_39_93,VSS,Metal1,59.5400,172.1310,0.000020
FILLER_39_84,VSS,Metal1,54.0400,172.4800,0.000019
FILLER_39_80,VSS,Metal1,52.2600,172.1310,0.000019
FILLER_39_72,VSS,Metal1,48.7730,172.0180,0.000019
FILLER_39_62,VSS,Metal1,43.1730,172.0180,0.000019
FILLER_39_46,VSS,Metal1,36.3520,171.9320,0.000019
FILLER_39_36,VSS,Metal1,27.1600,172.4800,0.000017
FILLER_39_34,VSS,Metal1,26.3200,172.4800,0.000016
FILLER_39_30,VSS,Metal1,24.2600,172.1310,0.000016
FILLER_39_18,VSS,Metal1,17.5400,172.1310,0.000016
FILLER_39_2,VSS,Metal1,11.7120,171.9320,0.000016
FILLER_38_325,VSS,Metal1,189.0000,164.6400,0.000008
FILLER_38_317,VSS,Metal1,185.9730,165.1015,0.000008
FILLER_38_313,VSS,Metal1,182.5600,164.6400,0.000008
FILLER_38_309,VSS,Metal1,180.5000,164.9885,0.000008
FILLER_38_299,VSS,Metal1,174.7200,164.6400,0.000008
FILLER_38_295,VSS,Metal1,172.6600,164.9885,0.000009
FILLER_38_279,VSS,Metal1,166.8320,165.1880,0.000009
FILLER_38_247,VSS,Metal1,153.3240,165.2375,0.000009
FILLER_38_244,VSS,Metal1,143.6400,164.6400,0.000010
FILLER_38_235,VSS,Metal1,138.6000,164.6400,0.000010
FILLER_38_233,VSS,Metal1,137.7600,164.6400,0.000010
FILLER_38_225,VSS,Metal1,134.4530,165.1015,0.000010
FILLER_38_209,VSS,Metal1,127.6320,165.1880,0.000010
FILLER_38_177,VSS,Metal1,114.1240,165.2375,0.000010
FILLER_38_171,VSS,Metal1,103.2200,164.9885,0.000010
FILLER_38_107,VSS,Metal1,83.8445,165.2775,0.000010
FILLER_38_104,VSS,Metal1,65.2400,164.6400,0.000010
FILLER_38_102,VSS,Metal1,64.4000,164.6400,0.000010
FILLER_38_98,VSS,Metal1,62.3400,164.9885,0.000010
FILLER_38_91,VSS,Metal1,57.9600,164.6400,0.000010
FILLER_38_89,VSS,Metal1,57.1200,164.6400,0.000010
FILLER_38_81,VSS,Metal1,53.8130,165.1015,0.000010
FILLER_38_75,VSS,Metal1,49.0000,164.6400,0.000010
FILLER_38_73,VSS,Metal1,48.1600,164.6400,0.000010
FILLER_38_69,VSS,Metal1,46.1000,164.9885,0.000010
FILLER_38_37,VSS,Metal1,35.7240,165.2375,0.000010
FILLER_38_34,VSS,Metal1,26.0400,164.6400,0.000010
FILLER_38_2,VSS,Metal1,16.1240,165.2375,0.000010
FILLER_37_325,VSS,Metal1,189.0000,164.6400,0.000008
FILLER_37_323,VSS,Metal1,188.1600,164.6400,0.000008
FILLER_37_306,VSS,Metal1,178.3600,164.6400,0.000008
FILLER_37_298,VSS,Metal1,175.3330,164.1780,0.000008
FILLER_37_282,VSS,Metal1,168.5120,164.0920,0.000009
FILLER_37_279,VSS,Metal1,163.2400,164.6400,0.000009
FILLER_37_275,VSS,Metal1,161.4600,164.2910,0.000009
FILLER_37_259,VSS,Metal1,155.6320,164.0920,0.000009
FILLER_37_245,VSS,Metal1,144.2000,164.6400,0.000010
FILLER_37_243,VSS,Metal1,143.3600,164.6400,0.000010
FILLER_37_212,VSS,Metal1,126.0000,164.6400,0.000010
FILLER_37_206,VSS,Metal1,122.8200,164.2910,0.000010
FILLER_37_160,VSS,Metal1,96.6000,164.6400,0.000010
FILLER_37_158,VSS,Metal1,95.7600,164.6400,0.000010
FILLER_37_142,VSS,Metal1,86.5200,164.6400,0.000010
FILLER_37_136,VSS,Metal1,83.6200,164.2910,0.000010
FILLER_37_72,VSS,Metal1,64.2445,164.0020,0.000010
FILLER_37_69,VSS,Metal1,45.6400,164.6400,0.000010
FILLER_37_61,VSS,Metal1,42.6130,164.1780,0.000010
FILLER_37_29,VSS,Metal1,31.2440,164.0420,0.000010
FILLER_37_14,VSS,Metal1,14.8400,164.6400,0.000010
FILLER_37_10,VSS,Metal1,13.0600,164.2910,0.000010
FILLER_37_2,VSS,Metal1,9.5730,164.1780,0.000010
FILLER_36_325,VSS,Metal1,189.0000,156.8000,0.000025
FILLER_36_317,VSS,Metal1,185.9730,157.2615,0.000025
FILLER_36_314,VSS,Metal1,182.8400,156.8000,0.000025
FILLER_36_294,VSS,Metal1,171.6400,156.8000,0.000026
FILLER_36_286,VSS,Metal1,168.6130,157.2615,0.000026
FILLER_36_243,VSS,Metal1,143.3600,156.8000,0.000030
FILLER_36_177,VSS,Metal1,107.5730,157.2615,0.000034
FILLER_36_159,VSS,Metal1,96.0400,156.8000,0.000034
FILLER_36_129,VSS,Metal1,79.2400,156.8000,0.000035
FILLER_36_127,VSS,Metal1,78.4000,156.8000,0.000035
FILLER_36_123,VSS,Metal1,76.3400,157.1485,0.000035
FILLER_36_107,VSS,Metal1,70.5120,157.3480,0.000035
FILLER_36_103,VSS,Metal1,64.9600,156.8000,0.000036
FILLER_36_99,VSS,Metal1,62.9000,157.1485,0.000036
FILLER_36_83,VSS,Metal1,57.0720,157.3480,0.000036
FILLER_36_72,VSS,Metal1,47.3200,156.8000,0.000036
FILLER_36_63,VSS,Metal1,42.2800,156.8000,0.000035
FILLER_36_61,VSS,Metal1,41.4400,156.8000,0.000035
FILLER_36_57,VSS,Metal1,39.3800,157.1485,0.000035
FILLER_36_50,VSS,Metal1,35.0000,156.8000,0.000035
FILLER_36_37,VSS,Metal1,28.0000,156.8000,0.000034
FILLER_36_34,VSS,Metal1,26.0400,156.8000,0.000033
FILLER_36_32,VSS,Metal1,25.2000,156.8000,0.000033
FILLER_36_22,VSS,Metal1,19.7800,157.1485,0.000033
FILLER_36_10,VSS,Metal1,13.0600,157.1485,0.000033
FILLER_36_2,VSS,Metal1,9.5730,157.2615,0.000033
FILLER_35_325,VSS,Metal1,189.0000,156.8000,0.000025
FILLER_35_279,VSS,Metal1,163.2400,156.8000,0.000027
FILLER_35_277,VSS,Metal1,162.4000,156.8000,0.000027
FILLER_35_273,VSS,Metal1,160.3400,156.4510,0.000028
FILLER_35_257,VSS,Metal1,154.5120,156.2520,0.000028
FILLER_35_250,VSS,Metal1,147.0000,156.8000,0.000028
FILLER_35_248,VSS,Metal1,146.1600,156.8000,0.000030
FILLER_35_240,VSS,Metal1,142.8530,156.3380,0.000030
FILLER_35_220,VSS,Metal1,130.6600,156.4510,0.000030
FILLER_35_212,VSS,Metal1,127.1730,156.3380,0.000030
FILLER_35_208,VSS,Metal1,123.7600,156.8000,0.000033
FILLER_35_189,VSS,Metal1,113.3000,156.4510,0.000033
FILLER_35_157,VSS,Metal1,102.9240,156.2020,0.000034
FILLER_35_58,VSS,Metal1,39.4800,156.8000,0.000035
FILLER_35_54,VSS,Metal1,37.7000,156.4510,0.000035
FILLER_35_36,VSS,Metal1,27.6200,156.4510,0.000034
FILLER_34_325,VSS,Metal1,189.0000,148.9600,0.000017
FILLER_34_317,VSS,Metal1,185.9730,149.4215,0.000017
FILLER_34_307,VSS,Metal1,180.3730,149.4215,0.000017
FILLER_34_302,VSS,Metal1,176.1200,148.9600,0.000018
FILLER_34_300,VSS,Metal1,175.2800,148.9600,0.000018
FILLER_34_296,VSS,Metal1,173.2200,149.3085,0.000018
FILLER_34_263,VSS,Metal1,154.7400,149.3085,0.000020
FILLER_34_247,VSS,Metal1,148.9120,149.5080,0.000020
FILLER_34_244,VSS,Metal1,143.6400,148.9600,0.000020
FILLER_34_242,VSS,Metal1,142.8000,148.9600,0.000020
FILLER_34_225,VSS,Metal1,133.2800,148.9600,0.000020
FILLER_34_209,VSS,Metal1,127.6320,149.5080,0.000022
FILLER_34_177,VSS,Metal1,114.1240,149.5575,0.000023
FILLER_34_119,VSS,Metal1,73.9200,148.9600,0.000024
FILLER_34_115,VSS,Metal1,71.8600,149.3085,0.000024
FILLER_34_107,VSS,Metal1,68.3730,149.4215,0.000024
FILLER_34_104,VSS,Metal1,65.2400,148.9600,0.000024
FILLER_34_100,VSS,Metal1,63.4600,149.3085,0.000024
FILLER_34_84,VSS,Metal1,57.6320,149.5080,0.000024
FILLER_34_61,VSS,Metal1,41.4400,148.9600,0.000024
FILLER_34_53,VSS,Metal1,38.1330,149.4215,0.000024
FILLER_34_37,VSS,Metal1,29.1730,149.4215,0.000024
FILLER_34_34,VSS,Metal1,26.0400,148.9600,0.000024
FILLER_34_26,VSS,Metal1,23.0130,149.4215,0.000024
FILLER_34_2,VSS,Metal1,11.7120,149.5080,0.000024
FILLER_33_294,VSS,Metal1,171.9200,148.9600,0.000019
FILLER_33_290,VSS,Metal1,169.8600,148.6110,0.000019
FILLER_33_282,VSS,Metal1,166.3730,148.4980,0.000019
FILLER_33_276,VSS,Metal1,162.0200,148.6110,0.000019
FILLER_33_268,VSS,Metal1,158.5330,148.4980,0.000019
FILLER_33_252,VSS,Metal1,151.7120,148.4120,0.000020
FILLER_33_214,VSS,Metal1,126.8400,148.9600,0.000022
FILLER_33_212,VSS,Metal1,126.0000,148.9600,0.000022
FILLER_33_209,VSS,Metal1,124.0400,148.9600,0.000022
FILLER_33_207,VSS,Metal1,123.2000,148.9600,0.000023
FILLER_33_203,VSS,Metal1,121.1400,148.6110,0.000023
FILLER_33_171,VSS,Metal1,110.7640,148.3620,0.000023
FILLER_33_154,VSS,Metal1,93.5200,148.9600,0.000023
